dateTransfer;datetimeTransfer;clientNumber;transferValue;transferCurrency;transferID;transferLog;destinationBankNumber;destinationBankBranch;destinationBankAccount
2022-12-31;2022-12-31T17:00:24Z;5516;7794.31;zing ƒ;20223563;;33;4078;72424-2
2022-12-31;2022-12-31T13:32:07Z;4965;7919;zing ƒ;20223562;;421;1979;36441-5
2022-12-31;2022-12-31T10:37:02Z;4608;5603;dollar $;20223561;;666;4425;41323-1
2022-12-31;2022-12-31T10:35:05Z;1121;4365.22;dollar $;20223560;;666;2400;74120-4
2022-12-31;2022-12-31T05:53:44Z;1121;4620;dollar $;20223559;;421;1100;39830-0
2022-12-31;2022-12-31T05:44:46Z;1121;7158;zing ƒ;20223558;;290;1100;35424-4
2022-12-31;2022-12-31T04:02:06Z;4862;6714;dollar $;20223557;;666;1002;71839-1
2022-12-31;2022-12-31T03:48:47Z;3294;10882.52;dollar $;20223556;;666;2231;50190-5
2022-12-30;2022-12-30T22:57:12Z;3294;7559;dollar $;20223555;;33;6317;47255-0
2022-12-30;2022-12-30T18:42:34Z;4862;1831.81;dollar $;20223554;;421;3321;74241-6
2022-12-30;2022-12-30T16:03:17Z;5243;7140;dollar $;20223553;;421;1979;59064-5
2022-12-30;2022-12-30T14:30:23Z;1455;5141;british pound £;20223552;;421;6552;62671-3
2022-12-30;2022-12-30T09:28:20Z;5764;8533;dollar $;20223551;;33;1200;81855-6
2022-12-30;2022-12-30T05:35:23Z;5986;6076;british pound £;20223550;;33;4078;83994-4
2022-12-30;2022-12-30T04:44:53Z;3715;6657;dollar $;20223549;;290;5420;26203-4
2022-12-30;2022-12-30T03:18:25Z;5832;6333;dollar $;20223548;;666;8800;78901-8
2022-12-30;2022-12-30T02:15:37Z;1217;4026;dollar $;20223547;;33;6552;56975-9
2022-12-29;2022-12-29T22:57:14Z;2489;4895.99;dollar $;20223546;;33;9921;84542-1
2022-12-29;2022-12-29T20:32:12Z;1121;5235;zing ƒ;20223545;;666;3321;34393-9
2022-12-29;2022-12-29T18:24:04Z;4862;5952;british pound £;20223544;;666;1002;37736-6
2022-12-29;2022-12-29T17:16:46Z;2197;8771;british pound £;20223543;;33;1200;32390-2
2022-12-29;2022-12-29T15:46:55Z;2197;7713.23;dollar $;20223542;;33;4078;85197-0
2022-12-29;2022-12-29T13:22:02Z;2727;4666.25;euro €;20223541;;33;5420;83070-8
2022-12-29;2022-12-29T11:58:16Z;3100;10433.94;zing ƒ;20223540;;421;4425;71366-2
2022-12-29;2022-12-29T09:51:24Z;5987;2345;british pound £;20223539;;33;2231;70909-9
2022-12-29;2022-12-29T06:09:06Z;1945;6355;dollar $;20223538;;290;1100;30264-3
2022-12-29;2022-12-29T05:59:35Z;1297;5056.33;dollar $;20223537;;666;8521;63092-0
2022-12-29;2022-12-29T05:54:23Z;2197;5752;british pound £;20223536;;666;8800;54159-1
2022-12-29;2022-12-29T05:51:35Z;5832;7270.97;zing ƒ;20223535;;666;1979;71173-8
2022-12-28;2022-12-28T23:23:30Z;2197;5091;dollar $;20223534;;290;5420;49443-9
2022-12-28;2022-12-28T22:59:03Z;4965;6661;dollar $;20223533;;33;1200;45746-2
2022-12-28;2022-12-28T21:35:19Z;3294;9448;dollar $;20223532;;33;1979;51713-0
2022-12-28;2022-12-28T11:26:57Z;5516;5552;dollar $;20223531;;290;9921;51540-4
2022-12-28;2022-12-28T08:54:01Z;2197;7283;dollar $;20223530;;290;6552;78514-8
2022-12-28;2022-12-28T01:27:48Z;4465;2102.44;dollar $;20223529;;290;2400;71108-3
2022-12-27;2022-12-27T22:09:19Z;4023;11879.7;dollar $;20223528;;290;4425;81440-2
2022-12-27;2022-12-27T17:21:11Z;2489;4982.49;zing ƒ;20223527;;666;6317;27041-4
2022-12-27;2022-12-27T17:08:01Z;3294;6617.17;dollar $;20223526;;666;2231;49767-2
2022-12-27;2022-12-27T11:03:28Z;4023;6606;british pound £;20223525;;33;6317;82600-2
2022-12-27;2022-12-27T10:23:40Z;6032;9552;zing ƒ;20223524;;290;9921;85258-0
2022-12-27;2022-12-27T07:51:45Z;4862;11379;dollar $;20223523;;33;4425;54796-3
2022-12-27;2022-12-27T06:58:25Z;5188;7821.69;dollar $;20223522;;33;4078;46571-3
2022-12-26;2022-12-26T21:28:31Z;4965;5482;zing ƒ;20223521;;290;4078;70247-4
2022-12-26;2022-12-26T20:17:14Z;5764;1756;dollar $;20223520;;421;6317;28871-8
2022-12-26;2022-12-26T15:38:18Z;3284;7074.89;euro €;20223519;;290;4425;51930-8
2022-12-26;2022-12-26T14:37:22Z;4465;9326.95;dollar $;20223518;;666;2231;65442-1
2022-12-26;2022-12-26T14:25:09Z;5832;8178;euro €;20223517;;290;8521;39648-9
2022-12-26;2022-12-26T11:42:39Z;1121;2108;dollar $;20223516;;33;9921;52009-2
2022-12-26;2022-12-26T02:45:02Z;2727;3261.73;british pound £;20223515;;421;6317;66040-9
2022-12-25;2022-12-25T21:30:42Z;1297;9332.61;zing ƒ;20223514;;666;5420;28225-1
2022-12-25;2022-12-25T20:48:27Z;5832;11067.91;dollar $;20223513;;290;9921;40478-7
2022-12-25;2022-12-25T19:48:50Z;2197;6294.72;dollar $;20223512;;290;4078;59131-3
2022-12-25;2022-12-25T14:03:57Z;3795;8772.61;dollar $;20223511;;33;4078;47492-0
2022-12-25;2022-12-25T11:51:16Z;4862;8438.78;dollar $;20223510;;421;1200;31321-5
2022-12-25;2022-12-25T07:59:03Z;5764;11159;zing ƒ;20223509;;421;1979;63332-3
2022-12-25;2022-12-25T05:38:02Z;1297;7089;british pound £;20223508;;421;4425;61393-9
2022-12-25;2022-12-25T00:24:36Z;1455;4333.62;zing ƒ;20223507;;290;1200;66835-7
2022-12-25;2022-12-25T00:11:12Z;3284;10589;dollar $;20223506;;421;1002;69217-9
2022-12-24;2022-12-24T22:08:44Z;6032;2831;dollar $;20223505;;33;8800;56941-4
2022-12-24;2022-12-24T18:53:02Z;5986;5370.01;dollar $;20223504;;290;1200;41549-4
2022-12-24;2022-12-24T15:39:23Z;1945;6814.23;euro €;20223503;;33;1200;59308-4
2022-12-24;2022-12-24T10:29:37Z;3100;4266;euro €;20223502;;666;1979;67488-0
2022-12-24;2022-12-24T09:34:34Z;3715;3851;dollar $;20223501;;290;1100;52224-4
2022-12-24;2022-12-24T08:22:49Z;3100;7659;dollar $;20223500;;33;9921;40154-3
2022-12-24;2022-12-24T00:56:45Z;4023;7513;dollar $;20223499;;33;2231;65237-8
2022-12-23;2022-12-23T20:41:22Z;4965;5857;dollar $;20223498;;666;2231;65330-4
2022-12-23;2022-12-23T09:53:01Z;5987;6918.39;dollar $;20223497;;33;1200;43442-4
2022-12-23;2022-12-23T08:32:49Z;2727;8042;dollar $;20223496;;290;5420;37759-7
2022-12-23;2022-12-23T03:08:54Z;5832;8302.48;dollar $;20223495;;33;5420;39884-9
2022-12-23;2022-12-23T00:42:55Z;6032;8242;dollar $;20223494;;421;6552;86401-9
2022-12-22;2022-12-22T20:32:48Z;4023;4343;dollar $;20223493;;421;4425;50034-4
2022-12-22;2022-12-22T15:55:38Z;5516;8348;zing ƒ;20223492;;666;1100;35760-0
2022-12-22;2022-12-22T15:23:55Z;2489;5803.61;dollar $;20223491;;421;1979;44331-7
2022-12-22;2022-12-22T09:02:47Z;5188;8175.67;dollar $;20223490;;666;8800;42657-8
2022-12-22;2022-12-22T04:25:58Z;1121;9226;euro €;20223489;;421;1002;84095-9
2022-12-22;2022-12-22T00:40:24Z;5243;3062;british pound £;20223488;;33;8521;72140-9
2022-12-21;2022-12-21T17:24:47Z;3294;4183;dollar $;20223487;;666;3321;51031-6
2022-12-21;2022-12-21T14:52:50Z;1945;5414;british pound £;20223486;;421;9921;42528-5
2022-12-21;2022-12-21T01:32:29Z;3100;8995.91;zing ƒ;20223485;;421;1979;71621-5
2022-12-20;2022-12-20T23:57:10Z;3715;6146.92;dollar $;20223484;;290;9921;59616-6
2022-12-20;2022-12-20T13:50:08Z;4862;2197.81;british pound £;20223483;;666;1200;63450-5
2022-12-20;2022-12-20T08:34:38Z;3715;7535;british pound £;20223482;;666;6317;35482-8
2022-12-20;2022-12-20T06:58:14Z;1455;4212.38;dollar $;20223481;;33;8521;25591-6
2022-12-20;2022-12-20T04:27:23Z;4965;8087;british pound £;20223480;;33;2400;44401-9
2022-12-19;2022-12-19T12:44:01Z;1297;7263.63;british pound £;20223479;;666;1100;28916-9
2022-12-19;2022-12-19T09:52:19Z;1455;8136;dollar $;20223478;;421;1979;50867-6
2022-12-19;2022-12-19T05:33:58Z;1121;7434.91;dollar $;20223477;;33;8800;64782-4
2022-12-19;2022-12-19T04:36:02Z;5243;8807.8;dollar $;20223476;;290;5420;65867-2
2022-12-19;2022-12-19T01:12:24Z;1455;5358;dollar $;20223475;;33;1002;42246-5
2022-12-18;2022-12-18T23:32:58Z;4862;5574;dollar $;20223474;;666;1100;76872-4
2022-12-18;2022-12-18T20:01:35Z;4023;4605;dollar $;20223473;;290;1979;37941-0
2022-12-18;2022-12-18T16:45:47Z;5243;6361;zing ƒ;20223472;;290;9921;81586-3
2022-12-18;2022-12-18T15:48:39Z;4023;7031.02;zing ƒ;20223471;;421;1200;29174-0
2022-12-18;2022-12-18T15:10:34Z;3294;8691;zing ƒ;20223470;;290;1979;79938-5
2022-12-18;2022-12-18T12:22:27Z;5832;8342;zing ƒ;20223469;;290;5420;29438-0
2022-12-18;2022-12-18T12:13:07Z;6032;6128;dollar $;20223468;;290;6317;47979-3
2022-12-18;2022-12-18T11:45:30Z;1297;142.66;dollar $;20223467;;421;5420;43088-1
2022-12-18;2022-12-18T10:58:45Z;1217;5785;dollar $;20223466;;290;4078;81439-3
2022-12-18;2022-12-18T06:36:31Z;2727;6495.97;british pound £;20223465;;290;6552;57023-9
2022-12-18;2022-12-18T01:59:29Z;4608;5015.41;dollar $;20223464;;666;1979;39906-4
2022-12-18;2022-12-18T00:07:40Z;4862;7016;dollar $;20223463;;421;6552;74341-4
2022-12-17;2022-12-17T20:05:53Z;4608;9293.33;british pound £;20223462;;666;8521;30577-6
2022-12-17;2022-12-17T17:12:32Z;1945;8630.6;dollar $;20223461;;421;1200;44433-0
2022-12-17;2022-12-17T07:03:08Z;6032;4743.74;dollar $;20223460;;33;2400;46264-3
2022-12-17;2022-12-17T06:14:07Z;3795;6271;dollar $;20223459;;290;9921;57265-9
2022-12-16;2022-12-16T23:01:46Z;5987;10572.56;zing ƒ;20223458;;666;9921;57768-0
2022-12-16;2022-12-16T22:15:40Z;6032;6797.44;zing ƒ;20223457;;33;1100;73300-1
2022-12-16;2022-12-16T14:47:01Z;3284;3716.33;zing ƒ;20223456;;33;8800;36993-9
2022-12-16;2022-12-16T11:58:22Z;4023;3843;british pound £;20223455;;33;9921;83419-9
2022-12-16;2022-12-16T04:07:57Z;1217;7366.19;dollar $;20223454;;421;2400;73933-7
2022-12-15;2022-12-15T23:43:51Z;5516;6743;dollar $;20223453;;290;4425;76281-0
2022-12-15;2022-12-15T22:49:59Z;6032;7245.81;euro €;20223452;;666;8521;55212-6
